key;name;lines;edges
6;Argentine;1;48*1
16;Bastille;1;105*1
19;Berault;1;52*1
45;Champs-Elysees-Clemenceau;1,13;64*1,172*13
48;Charles de Gaulle-Etoile;1;108*1
52;Chateau de Vincennes;1;
64;Concorde;1;288*1
88;Esplanade de la Defense;1;206*1
97;Franklin-Roosevelt;1;45*1
105;Gare de Lyon;1;245*1
108;George V;1;97*1
115;Hotel de Ville;1;268*1
128;La Defense (Grande Arche);1;88*1
141;Les Sablons (Jardin d'acclimatation);1;232*1
147;Louvre-Rivoli;1;55*1
177;Nation;1;226*1
186;Palais-Royal (Musee du Louvre);1;147*1
206;Pont de Neuilly;1;141*1
226;Porte de Vincennes;1;265*1
232;Porte Maillot;1;6*1
245;Reuilly-Diderot;1;177*1
265;Saint-Mande;1;19*1
268;Saint-Paul (Le Marais);1;16*1
288;Tuileries;1;186*1
1;Alesia;4;176*4
14;Barbes-Rochechouart;4;54*4
51;Chateau d'Eau;4;104*4
54;Chateau Rouge;4;163*4
55;Chatelet;4,1;89*4,115*1
60;Cite;4;55*4
79;Denfert-Rochereau;4;241*4
89;Etienne Marcel;4;242*4
104;Gare de l'Est (Verdun);4;106*4
106;Gare du Nord;4;14*4
140;Les Halles;4;89*4
163;Marcadet-Poissonniers;4;277*4
175;Montparnasse-Bienvenue;4,13;270*4,82*13
176;Mouton-Duvernet;4;79*4
182;Odeon;4,1;267*4,61*1
217;Porte de Clignancourt;4;
231;Porte d'Orleans (General Leclerc);4;1*4
241;Raspail;4;292*4
242;Reaumur-Sebastopol;4;280*4
262;Saint-Germain des Pres;4;182*4
267;Saint-Michel;4;60*4
270;Saint-Placide;4;272*4
272;Saint-Sulpice;4;262*4
277;Simplon;4;217*4
280;Strasbourg-Saint-Denis;4;51*4
292;Vavin;4;175*4
11;Avenue Emile-Zola;10;130*10
42;Cardinal-Lemoine;10;124*10
49;Charles Michels;10;11*10
61;Cluny-La Sorbonne;10;166*10
82;Duroc;10,13;289*10,260*13
103;Gare d'Austerlitz;10;
121;Javel-Andre-Citroen;10;49*10
124;Jussieu;10;103*10
130;La Motte-Picquet-Grenelle;10;273*10
148;Mabillon;10;182*10
166;Maubert-Mutualite;10;42*10
273;Segur;10;82*10
